status,code,url,sources,details,error
live,200,https://www.healthychildren.org/English/healthy-living/sports/Pages/default.aspx,manifest,src/content/body/hydration-baseline.md; src/content/body/pre-game-nutrition.md,
live,200,https://www.helmet.beam.vt.edu,manifest,src/pages/resources/national-organizations.astro,
live,200,https://www.invent.org/programs/camp-invention,camp,Camp Invention at Marvista Elementary,
live,200,https://www.itallhappenshere.org/programs/camps/,camp,Federal Way K-8 Summer Camp Week 1 | Federal Way DCIT Counselor in Training | Federal Way Fireflies Preschool Camp Week 2 | Federal Way K-8 Summer Camp Week 4 | Federal Way Sylvan STEM Camp | Federal Way Mini Dance Camp | Federal Way Fireflies Preschool Camp Week 5 | Federal Way Snapology STEAM Camp | Federal Way Ballerina Dream Camp | Federal Way K-8 Summer Camp Week 7 | Federal Way SpongeBob Theatre Camp,
live,200,https://www.jvaonline.org/,manifest,src/pages/governing-bodies.astro,
live,200,https://www.littleleague.org,manifest,src/pages/resources/national-organizations.astro,
live,200,https://www.littleleague.org/,manifest,src/content/rules/baseball.md; src/pages/about/sources.astro; src/pages/governing-bodies.astro,
live,200,https://www.littleleague.org/play-little-league/softball/,manifest,src/pages/governing-bodies.astro,
live,200,https://www.littleleague.org/player-safety/child-protection-program/,manifest,src/content/body/coach-background-checks.md,
live,200,https://www.littleleague.org/playing-rules/,manifest,src/content/rules/baseball.md,
live,200,https://www.littleleague.org/playing-rules/pitch-count/,manifest,src/content/body/youth-pitcher-arm-care.md,
live,200,https://www.mlb.com/pitch-smart,manifest,src/content/body/youth-pitcher-arm-care.md,
live,200,https://www.mlssoccer.com/mlsnext/,manifest,src/pages/governing-bodies.astro,
live,200,https://www.moveunitedsport.org/,manifest,src/pages/about/sources.astro; src/pages/governing-bodies.astro,
live,200,https://www.naia.org/,manifest,src/content/recruiting/the-recruiting-process.md; src/pages/about/sources.astro; src/pages/governing-bodies.astro,
live,200,https://www.naia.org/sports/bsb/index,manifest,src/content/recruiting/baseball.md,
live,200,https://www.naia.org/sports/fball/index,manifest,src/content/recruiting/football.md,
live,200,https://www.naia.org/sports/mbkb/index,manifest,src/content/recruiting/basketball.md,
live,200,https://www.naia.org/sports/msoc/index,manifest,src/content/recruiting/soccer.md,
live,200,https://www.nata.org/professional-interests/job-settings/secondary-school,manifest,src/content/body/heat-and-hydration.md,
live,200,https://www.ncaa.org/,manifest,src/content/recruiting/the-recruiting-process.md; src/pages/about/sources.astro; src/pages/governing-bodies.astro,
live,200,https://www.ncaa.org/about/resources/research/probability-competing-beyond-high-school,manifest,src/content/body/identity-beyond-the-sport.md; src/content/recruiting/scholarship-odds-the-honest-math.md,
live,200,https://www.ncaa.org/sports/2013/12/17/probability-of-competing-beyond-high-school.aspx,manifest,src/content/recruiting/social-media-for-recruiting.md; src/content/recruiting/timeline-by-grade.md; src/content/recruiting/what-verbal-commits-mean.md,
live,200,https://www.ncaa.org/sports/2015/3/2/estimated-probability-of-competing-in-college-athletics.aspx,manifest,src/content/recruiting/scholarship-odds-the-honest-math.md,
live,200,https://www.ncaa.org/sports/baseball,manifest,src/content/recruiting/baseball.md,
live,200,https://www.ncaa.org/sports/basketball-men,manifest,src/content/recruiting/basketball.md,
live,200,https://www.ncaa.org/sports/football,manifest,src/content/recruiting/football.md,
live,200,https://www.ncaa.org/sports/ice-hockey-men,manifest,src/content/recruiting/hockey.md,
live,200,https://www.ncaa.org/sports/ice-hockey-women,manifest,src/content/recruiting/hockey.md,
live,200,https://www.ncaa.org/sports/lacrosse-men,manifest,src/content/recruiting/lacrosse.md,
live,200,https://www.ncaa.org/sports/lacrosse-women,manifest,src/content/recruiting/lacrosse.md,
live,200,https://www.ncaa.org/sports/soccer-men,manifest,src/content/recruiting/soccer.md,
live,200,https://www.ncaa.org/sports/soccer-women,manifest,src/content/recruiting/soccer.md,
live,200,https://www.ncaa.org/sports/softball,manifest,src/content/recruiting/softball.md,
live,200,https://www.ncaa.org/sports/volleyball-men,manifest,src/content/recruiting/volleyball.md,
live,200,https://www.ncaa.org/sports/volleyball-women,manifest,src/content/recruiting/volleyball.md,
live,200,https://www.ndeo.org,manifest,src/pages/resources/national-organizations.astro,
live,200,https://www.nfhs.org/,manifest,src/content/guides/cheer.md; src/content/recruiting/nil-basics-for-hs.md; src/content/rules/football.md; +2 more,
live,200,https://www.nflflag.com,manifest,src/pages/resources/national-organizations.astro,
live,200,https://www.nflflag.com/,manifest,src/content/guides/flag-football.md; src/content/guides/football-7v7.md; src/content/rules/flag-football.md; +1 more,
live,200,https://www.niams.nih.gov/health-topics/sports-injuries,manifest,src/pages/about/sources.astro,
live,200,https://www.njcaa.org/,manifest,src/content/recruiting/the-recruiting-process.md; src/content/recruiting/timeline-by-grade.md; src/pages/about/sources.astro; +1 more,
live,200,https://www.njcaa.org/sports/fball/index,manifest,src/content/recruiting/football.md,
live,200,https://www.parkstacoma.gov/activities-and-sports/category/camps/sports-camps/,camp,Skyhawks Mini-Hawk Camp at Norpoint Park | Skyhawks Tennis Camp at Jefferson Park | Soccer Camp Full Day at SERA Sports Complex | Little All Stars Camp at Norpoint Park - Week 1 | Skyhawks Basketball Half-Day Camp at Kandle Park | Skyhawks Soccer Full-Day Camp at Norpoint Park | Baseball Camp Full Day at Heidelberg Sports Complex | DB Skimboarding Summer Camp - Week 3 Morning,
live,200,https://www.pdza.org/summer-camps/,camp,Point Defiance Zoo Little Lemurs Camp - Late June | Point Defiance Zoo Zoo Camp Week 1 | Point Defiance Zoo Tiny Turtles Camp - Late June | Point Defiance Zoo Zoo Camp Week 3 | Point Defiance Zoo Eco Explorers Camp - July | Point Defiance Zoo Teen Zoo Crew | Point Defiance Zoo Tiny Turtles Camp - Mid July | Point Defiance Zoo Animal Investigators Camp - July | Point Defiance Zoo Zoo Camp Week 5 | Point Defiance Zoo Wild Explorers Camp - July | Point Defiance Zoo Science Explorers Camp - July | Point Defiance Zoo Budding Biologists Camp - August,
live,200,https://www.penmetparks.org,camp,Pen Met P E Games Camp,
live,200,https://www.pgajrleague.com,manifest,src/pages/resources/national-organizations.astro,
live,200,https://www.pgajrleague.com/,manifest,src/pages/governing-bodies.astro,
live,200,https://www.playnaia.org/,manifest,src/content/recruiting/softball.md; src/content/recruiting/timeline-by-grade.md; src/pages/about/sources.astro; +1 more,
