status,code,url,note,sources
OK,200,https://diabetes.org/health-wellness/fitness,HEAD,diabetic-emergency-on-field.md
OK,200,https://concussionfoundation.org/,HEAD,concussion-protocol-basics.md; suspected-concussion-right-now.md
OK,200,https://www.littleleague.org/player-safety/child-protection-program/,HEAD,coach-background-checks.md; volunteer-vs-paid-coach-vetting.md
OK,200,https://www.nsca.com/,HEAD,creatine-youth-athletes.md; off-season-conditioning-safety.md; private-trainer-vetting.md
OK,200,https://www.cdc.gov/drowning/,HEAD,drowning-rescue-and-monitoring.md; hotel-pool-safety.md; pool-deck-rules.md; youth-swimming-safety-briefing.md
OK,200,https://cpr.heart.org/en/cpr-courses-and-kits/hands-only-cpr,HEAD,cpr-for-parents.md
OK,200,https://cpr.heart.org/,HEAD,cpr-for-parents.md; stop-the-bleed-basics.md
OK,200,https://aaafoundation.org/,HEAD,driver-fatigue-team-trips.md
OK,200,https://www.allianceforeatingdisorders.com/,HEAD,eating-disorders-in-sport.md; youth-cross-country-safety-briefing.md
OK,200,https://www.ussoccer.com/,HEAD,goalkeeper-gear-safety.md; soccer-goalpost-anchoring.md; youth-soccer-safety-briefing.md
OK,200,https://www.aan.com/,HEAD,febrile-seizure-on-field.md
OK,200,https://www.usaswimming.org/safe-sport,HEAD,chlorine-asthma-swimmers.md; diving-board-rules-supervision.md; hotel-pool-safety.md; open-water-swim-safety.md; pool-deck-rules.md; youth-swimming-safety-briefing.md
OK,200,https://www.iihs.org/,HEAD,fifteen-passenger-van-risks.md
OK,200,https://www.usalacrosse.com/,HEAD,goalkeeper-gear-safety.md
OK,200,https://www.usada.org/athletes/,HEAD,banned-substances-hs-college.md
OK,200,https://www.acc.org/,HEAD,energy-drinks-youth.md
OK,200,https://www.littleleague.org/player-safety/,HEAD,catchers-gear-safety.md; youth-baseball-safety-briefing.md
OK,200,https://www.nata.org/professional-interests/job-settings/secondary-school,HEAD,heat-and-hydration.md
OK,200,https://orthoinfo.aaos.org/en/diseases--conditions/,HEAD,growth-plates-basics.md
OK,200,https://orthoinfo.aaos.org/en/diseases--conditions/osgood-schlatter-disease-knee-pain/,HEAD,growth-plates-basics.md
OK,200,https://www.weather.gov/safety/heat,HEAD,humidity-dew-point-practice-modifiers.md
OK,200,https://www.nata.org/,HEAD,heat-exhaustion-vs-heatstroke.md; heatstroke-right-now.md; humidity-dew-point-practice-modifiers.md; play-through-pain-question.md; shoulder-dislocation-on-field.md; sideline-first-aid-kit.md; spinal-injury-cervical-spine-protocol.md; wrestling-headgear-skin-infections.md; youth-football-safety-briefing.md; youth-track-and-field-safety-briefing.md; youth-volleyball-safety-briefing.md; youth-wrestling-safety-briefing.md
OK,200,https://www.assh.org/,HEAD,hand-finger-fracture-triage.md
OK,200,https://www.fifatrainingcentre.com/en/,HEAD,acl-prevention-warmup.md
OK,200,https://www.naera.org/,HEAD,helmet-recertification.md
OK,200,https://www.heart.org/,HEAD,fainting-syncope-on-field.md
OK,200,https://www.cbp.gov/travel,HEAD,international-tournament-passports-visas.md
OK,200,https://www.usahockey.com/,HEAD,ejection-and-appeals.md
OK,200,https://travel.state.gov/,HEAD,international-tournament-passports-visas.md
OK,200,https://www.aap.org/en/practice-management/care-delivery-approaches/mental-health/,HEAD,identity-beyond-the-sport.md; performance-anxiety.md
OK,200,https://www.healthychildren.org/English/healthy-living/sports/Pages/default.aspx,HEAD,hydration-baseline.md; pre-game-nutrition.md
OK,200,https://www.weather.gov/safety/lightning,HEAD,lightning-at-the-field.md
OK,200,https://wwwnc.cdc.gov/travel,HEAD,international-tournament-passports-visas.md
OK,200,https://www.justice.gov/,HEAD,missing-kid-at-tournament.md
OK,200,https://afsp.org/,HEAD,mental-health-crisis-conversation.md; suicidal-ideation-youth-athletes.md
OK,200,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa,HEAD,live-streams-and-minor-athletes.md; photo-geotagging-team-posts.md; team-app-dm-settings.md; team-manager-parent-conduct.md; tiktok-privacy-settings.md
OK,200,https://www.aapd.org/,HEAD,knocked-out-tooth-protocol.md; mouthguard-fit-boil-vs-custom.md
OK,200,https://www.naso.org/,HEAD,ejection-and-appeals.md; sideline-parent-conduct.md
OK,200,https://988lifeline.org/,HEAD,mental-health-crisis-conversation.md; suicidal-ideation-youth-athletes.md
OK,200,https://www.missingkids.org/,HEAD,live-streams-and-minor-athletes.md; missing-kid-at-tournament.md; photo-geotagging-team-posts.md; snapchat-snap-map-risks.md; tiktok-privacy-settings.md
OK,200,https://www.usabat.com/,HEAD,helmet-bat-mouthguard-certification.md; used-gear-safety.md
OK,200,https://www.cdc.gov/easternequineencephalitis/,HEAD,mosquito-borne-illness.md
OK,200,https://www.cdc.gov/westnile/,HEAD,mosquito-borne-illness.md
OK,200,https://jedfoundation.org/,HEAD,mental-health-crisis-conversation.md; suicidal-ideation-youth-athletes.md
OK,200,https://www.ftc.gov/business-guidance/resources/ftcs-endorsement-guides-what-people-are-asking,HEAD,nil-privacy-hs-athletes.md
OK,200,https://www.glsen.org/research,HEAD,lgbtq-youth-athlete-safety.md
OK,200,https://www.usatf.org/,HEAD,pole-vault-helmet-debate.md; youth-cross-country-safety-briefing.md; youth-track-and-field-safety-briefing.md
OK,200,https://www.cdc.gov/mosquitoes/,HEAD,mosquito-borne-illness.md
OK,200,https://www.iyca.org/,HEAD,off-season-conditioning-safety.md
OK,200,https://www.aae.org/specialty/patient-resources/traumatic-dental-injuries/,HEAD,knocked-out-tooth-protocol.md
OK,200,https://www.aao.org/eye-health/tips-prevention/protective-eyewear,HEAD,nosebleed-and-eye-injury.md
OK,200,https://ksi.uconn.edu/prevention/hydration/,HEAD,hydration-baseline.md; summer-hydration-daily-plan.md
OK,200,https://www.bbb.org/,HEAD,private-trainer-vetting.md; recruiting-service-red-flags.md
OK,200,https://www.nsfsport.com/,HEAD,protein-powder-safety.md
OK,200,https://www.academyforsportsdentistry.org/,HEAD,mouthguard-fit-boil-vs-custom.md
OK,200,https://www.aao.org/,HEAD,pollen-allergic-conjunctivitis.md
OK,200,https://www.ftc.gov/,HEAD,recruiting-service-red-flags.md
OK,200,https://www.eeoc.gov/,HEAD,racism-discrimination-on-team.md
OK,200,https://appliedsportpsych.org/,HEAD,pre-game-routine.md
OK,200,https://www.fda.gov/food/food-labeling-nutrition/food-allergies,HEAD,restaurant-food-allergies-travel.md
OK,200,https://orthoinfo.aaos.org/en/diseases--conditions/dislocated-shoulder/,HEAD,shoulder-dislocation-on-field.md
OK,200,https://jissn.biomedcentral.com/,HEAD,creatine-youth-athletes.md
OK,200,https://www.eeoc.gov/statutes/title-vii-civil-rights-act-1964,HEAD,religious-accommodations-team-culture.md
OK,200,https://www.usada.org/athletes/substances/supplement-411/,HEAD,protein-powder-safety.md
